selling_price,fuel,km/year,Rent/Own
500000,Petrol,2290,1
600000,Petrol,7500,1
425000,Diesel,22500,0
400000,Petrol,12500,0
509999,Petrol,1666,1
450000,Diesel,10000,0
210000,Petrol,6000,0
940000,Diesel,21333,0
750000,Diesel,10000,0
610000,Diesel,20000,0
450000,Diesel,8333,0
409999,Diesel,6222,0
300000,Petrol,3500,1
400000,Diesel,13375,0
222000,Petrol,6363,0
3800000,Diesel,3333,1
1580000,Diesel,10750,1
4950000,Diesel,15000,1
535000,Diesel,10520,0
550000,Petrol,4972,1
670000,Petrol,1420,1
625000,Petrol,1986,1
520000,Petrol,2627,1
239000,Petrol,8200,0
2600000,Diesel,11790,1
750000,Diesel,7662,1
229999,Petrol,5536,0
1300000,Diesel,7312,1
385000,Diesel,5777,0
760000,Petrol,9223,1
600000,Diesel,11626,0
3800000,Diesel,3333,1
1580000,Diesel,10750,1
4950000,Diesel,15000,1
535000,Diesel,10520,0
550000,Petrol,4972,1
670000,Petrol,1420,1
625000,Petrol,1986,1
520000,Petrol,2627,1
239000,Petrol,8200,0
2600000,Diesel,11790,1
750000,Diesel,7662,1
229999,Petrol,5536,0
1300000,Diesel,7312,1
385000,Diesel,5777,0
760000,Petrol,9223,1
600000,Diesel,11626,0
735000,Diesel,6144,0
285000,Diesel,8255,0
350000,Petrol,4434,0
290000,Diesel,7965,0
890000,Diesel,10054,1
385000,Petrol,1147,1
425000,Petrol,2088,1
525000,Petrol,2436,1
550000,Petrol,2437,1
271000,Petrol,5444,0
1490000,Diesel,6898,1
490000,Petrol,5180,1
260000,Petrol,5372,0
455000,Diesel,7978,0
421000,Petrol,3973,1
550000,Diesel,10800,0
330000,Petrol,4750,0
390000,Diesel,5050,0
599000,Diesel,7826,1
250000,Petrol,5000,0
2700000,Diesel,8333,1
350000,Petrol,2500,1
475000,Diesel,10000,0
4700000,Diesel,1500,1
500000,Diesel,16666,0
250000,Diesel,17142,0
350000,Petrol,2500,1
4000000,Diesel,6714,1
1900000,Petrol,5000,1
409999,Diesel,9666,0
1050000,Diesel,11666,1
320000,Petrol,7500,0
1000000,Diesel,5000,1
1770000,Diesel,6250,1
950000,Diesel,6666,1
750000,Diesel,16666,0
220000,Petrol,6000,0
1000000,Diesel,12500,1
660000,Diesel,29000,0
716000,Diesel,16666,0
675000,Petrol,11000,1
325000,Diesel,10000,0
950000,Diesel,10000,1
250000,Diesel,3571,0
4000000,Petrol,22666,1
210000,Petrol,2857,1
725000,Diesel,8783,1
550000,Diesel,10000,0
475000,Petrol,5000,1
500000,Petrol,6625,1
1300000,Diesel,11666,1
1050000,Diesel,10000,1
300000,Petrol,1250,1
600000,Petrol,5000,1
900000,Diesel,12500,1
550000,Petrol,12500,0
400000,Petrol,3750,1
300000,Diesel,11250,0
640000,Petrol,3833,1
380000,Petrol,7385,0
650000,Petrol,23333,0
550000,Petrol,11666,0
650000,Diesel,7893,0
3800000,Diesel,3333,1
1490000,Diesel,5000,1
4950000,Diesel,15000,1
1140000,Petrol,7679,1
3050000,Diesel,7500,1
550000,Petrol,4972,1
625000,Petrol,1986,1
520000,Petrol,2627,1
239000,Petrol,8200,0
2600000,Diesel,11790,1
229999,Petrol,5536,0
1300000,Diesel,7312,1
585000,Petrol,10902,1
825000,Petrol,3737,1
280000,Diesel,6500,0
725000,Petrol,9843,1
300000,Diesel,15000,0
375000,Petrol,11666,0
1950000,Diesel,21200,1
270000,Petrol,6666,0
280000,Petrol,7209,0
250000,Petrol,7142,0
790000,Diesel,6523,1
1200000,Petrol,9866,1
950000,Diesel,5000,1
340000,Petrol,25000,0
825000,Diesel,3375,1
3100000,Petrol,7333,1
780000,Diesel,8333,1
690000,Petrol,13000,0
245000,Petrol,12000,0
790000,Diesel,16333,0
680000,Petrol,16200,0
425000,Petrol,5000,1
1100000,Diesel,15000,1
715000,Diesel,5833,1
1580000,Diesel,10750,1
1750000,Diesel,21273,1
1750000,Diesel,14622,1
1850000,Petrol,8891,1
950000,Diesel,7131,1
310000,Petrol,5447,1
575000,Diesel,66,1
490000,Diesel,5500,1
480000,Petrol,13315,0
3500000,Diesel,10600,1
370000,Petrol,3333,1
835000,Diesel,3500,1
650000,Petrol,11000,1
670000,Diesel,5699,1
950000,Diesel,18250,0
690000,Petrol,2428,1
670000,Petrol,4647,1
925000,Diesel,6691,1
250000,Petrol,5000,0
509999,Diesel,8400,0
520000,Diesel,15714,0
950000,Diesel,9206,1
450000,Petrol,11666,0
480000,Diesel,8333,0
2490000,Diesel,6571,1
790000,Diesel,9111,0
1015000,Diesel,6666,1
520000,Diesel,12000,0
1100000,Diesel,10000,1
200000,Diesel,13937,0
525000,Diesel,12000,0
500000,Petrol,8000,0
675000,Diesel,32265,0
250000,Diesel,3571,0
450000,Petrol,2000,1
200000,Diesel,9444,0
525000,Diesel,7000,0
475000,Diesel,18333,0
250000,Petrol,11500,0
400000,Diesel,7000,0
425000,Diesel,9000,0
260000,Petrol,7500,0
450000,Diesel,6333,1
650000,Diesel,12333,0
285000,Petrol,10000,0
725000,Petrol,8666,1
625000,Petrol,6000,1
550000,Petrol,4600,1
240000,Petrol,4444,0
600000,Diesel,3857,1
350000,Diesel,7222,0
245000,Petrol,5333,0
600000,Diesel,11200,0
2400000,Diesel,7500,1
620000,Diesel,11428,0
635000,Petrol,1892,1
400000,Diesel,12222,0
550000,Diesel,14666,0
200000,Petrol,3000,0
750000,Diesel,30000,0
229999,Petrol,1687,1
350000,Petrol,2500,1
450000,Petrol,2833,1
250000,Diesel,13333,0
225000,Diesel,13333,0
300000,Diesel,11250,0
375000,Diesel,12000,0
390000,Diesel,11250,0
600000,Petrol,2500,1
375000,Petrol,2500,1
700000,Petrol,1100,1
455000,Petrol,10000,0
375000,Petrol,2500,1
341000,Petrol,4498,1
450000,Petrol,3750,1
1900000,Diesel,25000,1
500000,Diesel,12000,0
819999,Diesel,17000,0
430000,Diesel,4000,1
750000,Diesel,20000,0
1500000,Diesel,7735,1
630000,Diesel,10000,0
1085000,Diesel,5000,1
550000,Petrol,8333,1
260000,Diesel,8125,0
780000,Diesel,16666,0
535000,Petrol,11167,0
350000,Petrol,4444,0
425000,Petrol,8250,0
300000,Petrol,7575,0
250000,Petrol,6721,0
315000,Diesel,15985,0
200000,Petrol,8333,0
300000,Petrol,5000,0
300000,Diesel,11125,0
380000,Petrol,15385,0
250000,Petrol,67216,0
310000,Diesel,11981,0
260000,Petrol,4545,0
850000,Diesel,8000,1
250000,Diesel,12222,0
715000,Diesel,33428,0
220000,Diesel,7000,0
300000,Diesel,18888,0
220000,Petrol,10000,0
380000,Petrol,3000,1
300000,Diesel,13777,0
650000,Petrol,4753,1
300000,Petrol,1938,1
700000,Diesel,5920,1
310000,Petrol,5987,0
500000,Petrol,4000,1
415000,Petrol,5096,0
550000,Diesel,9509,0
415000,Diesel,11622,0
450000,Diesel,13782,0
580000,Petrol,6400,1
300000,Diesel,27231,0
1200000,Diesel,20000,0
400000,Diesel,17694,0
850000,Diesel,15000,0
2500000,Diesel,3888,1
780000,Diesel,17500,0
3200000,Diesel,14250,1
350000,Petrol,1000,1
525000,Diesel,16333,0
580000,Diesel,23333,0
695000,Diesel,23333,0
2700000,Diesel,2500,1
1300000,Diesel,17500,1
450000,Diesel,16000,0
619000,Petrol,1500,1
1700000,Diesel,16666,1
925000,Diesel,25000,0
450000,Diesel,6666,0
600000,Diesel,1895,1
700000,Diesel,10000,0
486000,Petrol,6625,1
400000,Diesel,11250,0
275000,Petrol,11666,0
580000,Diesel,11400,0
375000,Petrol,11666,0
600000,Diesel,15000,0
300000,Petrol,5000,1
630000,Diesel,13333,0
210000,Diesel,1721,1
725000,Diesel,15714,0
530000,Diesel,16666,0
350000,Diesel,5250,0
229999,Petrol,7600,0
800000,Diesel,11666,1
425000,Diesel,19558,0
610000,Petrol,5000,1
550000,Diesel,12000,0
200000,Petrol,15000,0
720000,Petrol,1500,1
350000,Diesel,19000,0
400000,Petrol,5000,1
570000,Petrol,8750,1
210000,Petrol,10400,0
800000,Diesel,17333,0
700000,Diesel,9750,1
200000,Diesel,2868,0
325000,Diesel,11474,0
650000,Petrol,4000,1
350000,Diesel,10276,0
600000,Diesel,16000,0
400000,Diesel,16818,0
1800000,Diesel,8666,1
650000,Petrol,10000,1
800000,Petrol,7650,1
802000,Petrol,5000,1
430000,Diesel,7000,0
650000,Petrol,5750,1
450000,Diesel,23500,0
250000,Petrol,10875,0
287000,Diesel,7777,0
675000,Diesel,12000,0
600000,Petrol,5000,1
600000,Petrol,666,1
640000,Petrol,4000,1
600000,Petrol,5833,1
290000,LPG,4142,0
600000,Petrol,5000,1
325000,Petrol,3750,1
200000,Diesel,4917,0
2800000,Diesel,13333,1
550000,Diesel,15000,0
250000,Petrol,13500,0
580000,Diesel,7777,0
300000,Diesel,20555,0
1200000,Diesel,4100,1
650000,Petrol,2000,1
950000,Petrol,13798,1
385000,Diesel,5777,0
700000,Petrol,8000,1
750000,Diesel,8833,1
290000,Petrol,5000,1
675000,Diesel,11000,0
530000,Diesel,9166,0
1485000,Diesel,6857,1
325000,Diesel,10144,0
400000,Diesel,10000,0
380000,Diesel,17750,0
750000,Petrol,9000,1
390000,Petrol,11250,0
1825000,Diesel,7000,1
3256000,Diesel,8500,1
370000,Diesel,10000,0
380000,Diesel,10375,0
395000,Petrol,6666,1
360000,Diesel,14545,0
451000,Diesel,16666,0
434999,Petrol,3333,1
800000,Diesel,22285,0
675000,Diesel,7500,1
400000,Diesel,21250,0
200000,Petrol,8333,0
400000,Diesel,5000,0
1400000,Diesel,25000,0
800000,Diesel,2500,1
315000,Petrol,5857,0
700000,Petrol,8000,1
585000,Diesel,10200,0
350000,Petrol,4285,1
495000,Diesel,11428,0
500000,Petrol,12500,0
345000,Petrol,5500,0
500000,Petrol,1666,1
360000,Petrol,6600,0
210000,Petrol,2272,0
220000,Petrol,9428,0
250000,Petrol,4000,0
990000,Diesel,29200,0
530000,Petrol,7142,1
575000,Diesel,10000,0
400000,Diesel,11000,0
680000,Diesel,10000,0
1000000,Diesel,11428,1
346000,Diesel,5359,0
450000,Diesel,3333,1
500000,Petrol,2500,1
700000,Diesel,4000,1
280000,Petrol,12940,0
475000,Petrol,5000,1
300000,Diesel,4166,0
200999,Petrol,5714,0
320000,Diesel,8888,0
300000,Petrol,2307,0
700000,Petrol,1111,1
500000,Diesel,18333,0
500000,Petrol,4000,1
484999,Petrol,4500,1
380000,Petrol,8333,0
480000,Petrol,5000,1
350000,Petrol,8750,0
300000,Petrol,20000,0
509000,Petrol,15000,0
650000,Diesel,16000,0
400000,Diesel,4444,0
1380000,Diesel,8333,1
1000000,Diesel,8000,1
420000,Diesel,10000,0
525000,Diesel,22000,0
325000,Diesel,12272,0
450000,Petrol,975,1
650000,Diesel,11333,0
600000,Diesel,11626,0
650000,Petrol,1620,1
750000,Diesel,8019,1
850000,Petrol,6369,1
315000,Petrol,4617,1
415000,Petrol,4702,1
640000,Diesel,14557,0
780000,Petrol,7765,1
2595000,Diesel,19910,1
850000,Diesel,9782,1
900000,Diesel,9130,1
1150000,Petrol,12831,1
215000,Diesel,10777,0
400000,Petrol,8000,0
550000,Petrol,30000,0
245000,Petrol,10400,0
950000,Petrol,8750,1
350000,Petrol,7500,0
370000,Petrol,7500,0
250000,Petrol,6000,0
2600000,Diesel,4750,1
229999,Petrol,16000,0
750000,Diesel,7250,1
320000,Petrol,10000,0
1100000,Diesel,6666,1
270000,Petrol,4400,0
300000,Petrol,5555,0
200000,Diesel,5555,0
400000,Petrol,12500,0
229999,Diesel,20000,0
430000,Diesel,4000,1
300000,Diesel,10000,0
350000,Petrol,8750,0
450000,Diesel,15000,0
250000,Petrol,7500,0
650000,Diesel,34857,0
525000,Petrol,3750,1
500000,Diesel,10000,0
450000,Diesel,6625,0
229999,CNG,10000,0
700000,Diesel,25000,0
545000,Petrol,7300,1
200000,Petrol,7500,0
500000,Diesel,20000,0
450000,Petrol,2000,1
760000,Diesel,9800,1
300000,Petrol,3666,1
800000,Diesel,12000,1
680000,Diesel,6666,1
1300000,Diesel,14000,1
500000,Petrol,12000,0
3500000,Diesel,5833,1
300000,Diesel,7500,0
641000,Petrol,6250,1
650000,Diesel,8333,1
495000,Diesel,8721,0
324000,Petrol,3750,0
2100000,Diesel,18301,1
200000,Petrol,11666,0
320000,Diesel,10000,0
300000,Petrol,3416,1
800000,Diesel,22500,0
420000,Diesel,8333,0
875000,Diesel,10000,1
580000,Diesel,10000,0
650000,Diesel,15000,0
400000,Petrol,2142,1
250000,Petrol,4375,0
250000,Petrol,6363,0
590000,Diesel,8783,1
225000,Diesel,11457,0
900000,Diesel,9400,1
375000,Petrol,6822,1
320000,Petrol,4932,1
525000,Diesel,4625,1
650000,Diesel,4035,1
575000,Diesel,6751,1
355000,Petrol,5603,0
470000,Diesel,6273,1
221000,Petrol,2692,0
580000,Diesel,5658,0
325000,Petrol,5584,0
495000,Petrol,5655,0
290000,Petrol,1714,1
375000,Petrol,923,1
211000,Diesel,4312,0
280000,Petrol,3709,1
400000,Petrol,7401,0
850000,Diesel,9166,1
550000,Diesel,8000,0
550000,Diesel,8000,0
1000000,Diesel,13333,1
350000,Diesel,24285,0
830000,Diesel,11666,1
850000,Diesel,25000,0
213000,Petrol,10000,0
660000,Diesel,8333,1
415000,Petrol,12241,0
650000,Diesel,8476,0
1250000,Diesel,7000,1
715000,Diesel,6250,1
715000,Diesel,6250,1
565000,Diesel,9400,0
325000,Diesel,7214,0
409999,Diesel,3111,1
300000,Petrol,8888,0
700000,Diesel,30000,0
800000,Diesel,2857,1
265000,Petrol,8000,0
630000,Diesel,8333,1
3800000,Diesel,3333,1
1580000,Diesel,10750,1
4950000,Diesel,15000,1
535000,Diesel,10520,0
550000,Petrol,4972,1
670000,Petrol,1420,1
625000,Petrol,1986,1
520000,Petrol,2627,1
239000,Petrol,8200,0
2600000,Diesel,11790,1
750000,Diesel,7662,1
229999,Petrol,5536,0
1300000,Diesel,7312,1
385000,Diesel,5777,0
760000,Petrol,9223,1
600000,Diesel,11626,0
260000,Diesel,7142,0
450000,Diesel,3666,0
500000,Petrol,7600,1
260000,Petrol,4444,0
869999,Diesel,16000,0
690000,Petrol,13333,0
825000,Diesel,12000,0
360000,Petrol,6000,0
220000,Petrol,6666,0
515000,Diesel,1666,1
300000,Petrol,5000,0
260000,Diesel,7142,0
450000,Diesel,3666,0
500000,Petrol,7600,1
260000,Petrol,4444,0
750000,Petrol,3750,1
869999,Diesel,16000,0
950000,Diesel,8888,0
690000,Petrol,13333,0
825000,Diesel,12000,0
700000,Diesel,8333,1
450000,Diesel,7500,0
750000,Diesel,500,1
774000,Petrol,439,1
711000,Petrol,484,1
